year,round,circuitId,weather,weather_warm,weather_cold,weather_dry,weather_wet,weather_cloudy
1973,15,46,Cloudy with temperatures approaching 68 °F (20 °C); wind speeds up to 8 miles per hour (13 km/h)[1],0,0,0,0,1
1972,1,25,not found,0,0,0,0,0
1972,2,30,"Sunny, Hot, Dry",0,0,1,0,0
1972,3,45,not found,0,0,0,0,0
1972,4,6,Wet,0,0,0,1,0
1972,5,50,not found,0,0,0,0,0
1972,6,51,not found,0,0,0,0,0
1972,7,38,"Warm, dry",0,0,1,0,0
1972,8,20,not found,0,0,0,0,0
1972,9,23,"Sunny, hot",1,0,0,0,0
1972,10,14,Dry and sunny,1,0,1,0,0
1972,11,48,Mild with temperatures approaching 22.8 °C (73.0 °F); wind speeds up to 12 kilometres per hour (7.5 mph)[1],1,0,0,0,0
1972,12,46,"Sunny at start, brief showers late",1,0,0,1,0
1971,1,30,"Sunny, Hot, Dry",0,0,1,0,0
1971,2,49,"Sunny, Hot, Dry",0,0,1,0,0
1971,3,6,Overcast,0,0,0,0,1
1971,4,39,Wet,0,0,0,1,0
1971,5,34,not found,0,0,0,0,0
1971,6,9,"Overcast, dry",0,0,1,0,0
1971,7,20,not found,0,0,0,0,0
1971,8,23,Dry,0,0,1,0,0
1971,9,14,not found,0,0,0,0,0
1971,10,48,Chilly with temperatures approaching 17.8 °C (64.0 °F); wind speeds up to 8 kilometres per hour (5.0 mph)[1],0,1,0,0,0
1971,11,46,Dry,0,0,1,0,0
1970,1,30,"Very hot, Dry",0,0,1,0,0
1970,2,45,"Very hot, Dry",0,0,1,0,0
1970,3,6,Sunny and warm,1,0,0,0,0
1970,4,13,not found,0,0,0,0,0
1970,5,39,Cloudy,0,0,0,0,1
1970,6,51,Overcast,0,0,0,0,1
1970,7,38,not found,0,0,0,0,0
1970,8,10,not found,0,0,0,0,0
1970,9,23,not found,0,0,0,0,0
1970,10,14,"Sunny, Dry",0,0,1,0,0
1970,11,52,Mild with temperatures approaching 23.3 °C (73.9 °F); winds gusting up to 10.1 kilometres per hour (6.3 mph)[1],1,0,0,0,0
1970,12,46,Cloudy and dry with temperatures reaching up to 50 °F (10 °C); winds gusting up to 15.9 miles per hour (25.6 km/h)[1],0,0,1,0,1
1970,13,32,not found,0,0,0,0,0
1969,1,30,"Hot, Dry",0,0,1,0,0
1969,2,49,"Sunny, mild, dry",0,0,1,0,0
1969,3,6,"Overcast, mild, dry",0,0,1,0,0
1969,4,39,"Sunny, mild, dry",0,0,1,0,0
1969,5,51,"Sunny, mild, dry",0,0,1,0,0
1969,6,9,"Overcast, dry",0,0,1,0,0
1969,7,20,not found,0,0,0,0,0
1969,8,14,"Sunny, Dry",0,0,1,0,0
1969,9,48,Mild with temperatures approaching 21.1 °C (70.0 °F); wind speeds up to 10.1 kilometres per hour (6.3 mph)[1],1,0,0,0,0
1969,10,46,Dry with temperatures reaching up to 64 °F (18 °C); wind speeds up to 10.1 miles per hour (16.3 km/h)[1],0,0,1,0,0
1969,11,32,Warm and dry,1,0,1,0,0
1968,1,30,"Very hot, dry",0,0,1,0,0
1968,2,45,"Hot, Dry",0,0,1,0,0
1968,3,6,"Sunny, Mild, Dry",0,0,1,0,0
1968,4,13,"Overcast, Dry",0,0,1,0,0
1968,5,39,Showers,0,0,0,1,0
1968,6,53,Wet,0,0,0,1,0
1968,7,38,"Hot, Dry",0,0,1,0,0
1968,8,20,"Hazy, Wet",0,0,0,1,0
1968,9,14,"Hot, Dry",0,0,1,0,0
1968,10,52,Sunny with temperatures reaching up to 27.8 °C (82.0 °F) and wind speeds up to 10.1 kilometres per hour (6.3 mph); no precipitation reported throughout the day[1],1,0,0,0,0
1968,11,46,Temperatures reaching a maximum of 51.1 °F (10.6 °C); wind speeds up to 14 miles per hour (23 km/h)[1],0,0,0,0,0
1968,12,32,"Sunny, Mild, Dry",0,0,1,0,0
1967,1,30,not found,0,0,0,0,0
1967,2,6,not found,0,0,0,0,0
1967,3,39,not found,0,0,0,0,0
1967,4,13,not found,0,0,0,0,0
1967,5,54,not found,0,0,0,0,0
1967,6,9,not found,0,0,0,0,0
1967,7,20,"Warm, dry and sunny",1,0,1,0,0
1967,8,48,Rainy with temperatures up to 24.4 °C (75.9 °F); wind speeds up to 8 kilometres per hour (5.0 mph)[1],0,0,0,1,0
1967,9,14,"Warm, dry",0,0,1,0,0
1967,10,46,Sunny,1,0,0,0,0
1967,11,32,not found,0,0,0,0,0
1966,1,6,"Overcast, Mild, Dry",0,0,1,0,0
1966,2,13,Overcast and wet,0,0,0,1,1
1966,3,55,"Hot, dry",0,0,1,0,0
1966,4,38,"Wet, drying later",0,0,0,0,0
1966,5,39,"Sunny, Mild, Dry",0,0,1,0,0
1966,6,20,Overcast and wet,0,0,0,1,1
1966,7,14,"Warm, dry and sunny",1,0,1,0,0
1966,8,46,"Cool, dry",0,0,1,0,0
1966,9,32,"Warm, clear",1,0,0,0,0
1965,1,56,not found,0,0,0,0,0
1965,2,6,not found,0,0,0,0,0
1965,3,13,Heavy rain,0,0,0,1,0
1965,4,51,Sunny,1,0,0,0,0
